#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","55","2203367706624","3289088","1978368","4344","X:\windows\system32\cmd.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","8",,"False",,"2480","Microsoft.Win32.SafeHandles.SafeProcessHandle","55","1800",".","65664","Administrator: X:\windows\system32\cmd.exe - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","4344","4344","1978368","1978368","27480","27480","3178496","3178496","3301376","3301376","50532352","2203368755200","True","Normal","1978368","1978368","00:00:00.0156250","cmd","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","49483776","2203367706624","False",,,,"3289088","3289088",,
"conhost","1","148","2203438342144","11247616","1835008","10592","X:\windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2924","Microsoft.Win32.SafeHandles.SafeProcessHandle","148","388",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10592","10592","1835008","1835008","168832","168832","1921024","1921024","11276288","11276288","122847232","2203441070080","True","Normal","1835008","1835008","00:00:00.0781250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","120119296","2203438342144","False",,,,"11247616","11247616",,
"conhost","1","155","2203439390720","10801152","1957888","10864","X:\windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2176","Microsoft.Win32.SafeHandles.SafeProcessHandle","155","1808",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10864","10864","1957888","1957888","173056","173056","2015232","2015232","11784192","11784192","122847232","2203441070080","True","Normal","1957888","1957888","00:00:00.0781250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","121167872","2203439390720","False",,,,"10801152","10801152",,
"csrss","0","198","2203406909440","5353472","1638400","11744",,,"0.21875",,,,,"Process","13",,,,,,"198","500",".","0","",,,,,"11744","11744","1638400","1638400","129768","129768","1810432","1810432","5390336","5390336","89407488","2203407630336",,,"1638400","1638400","00:00:00.2187500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","88686592","2203406909440","False",,,,"5353472","5353472",,
"csrss","1","194","2203407826944","5996544","1781760","11936",,,"0.265625",,,,,"Process","13",,,,,,"194","576",".","0","",,,,,"11936","11936","1781760","1781760","121328","121328","1896448","1896448","7487488","7487488","91865088","2203410087936",,,"1781760","1781760","00:00:00.2500000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.0156250","89604096","2203407826944","False",,,,"5996544","5996544",,
"fontdrvhost","1","36","2203392663552","4694016","1384448","6384","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.109375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2200","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","812",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6384","6384","1384448","1384448","48480","48480","1384448","1384448","5775360","5775360","74440704","2203392663552","True","Normal","1384448","1384448","00:00:00.0937500","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","74440704","2203392663552","False",,,,"4694016","4694016",,
"fontdrvhost","0","40","2203388321792","3321856","970752","5840","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2384","Microsoft.Win32.SafeHandles.SafeProcessHandle","40","820",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5840","5840","970752","970752","40000","40000","1032192","1032192","5795840","5795840","72122368","2203390345216","True","Normal","970752","970752","00:00:00.0156250","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","70098944","2203388321792","False",,,,"3321856","3321856",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","8192","8192","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","663","2203399913472","13877248","3309568","17272","X:\windows\system32\lsass.exe","Microsoft Corporation","0.328125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Local Security Authority Process","Microsoft® Windows® Operating System","Process","9",,"False",,"2400","Microsoft.Win32.SafeHandles.SafeProcessHandle","663","708",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17272","17272","3309568","3309568","103920","103920","3584000","3584000","13959168","13959168","83787776","2203402010624","True","Normal","3309568","3309568","00:00:00.3125000","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.0156250","81690624","2203399913472","False",,,,"13877248","13877248",,
"powershell","1","658","2203953717248","94187520","73555968","56248","X:\windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","6.1875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows PowerShell","Microsoft® Windows® Operating System","Process","8",,"False",,"2128","Microsoft.Win32.SafeHandles.SafeProcessHandle","658","1856",".","0","","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","56248","56248","73555968","73555968","320168","320168","76587008","76587008","96456704","96456704","642547712","2203960770560","True","Normal","73555968","73555968","00:00:01.6250000","powershell","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.1875000","00:00:04.5625000","635494400","2203953717248","False",,,,"94187520","94187520",,
