#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","55","2203367706624","3289088","1978368","4344","X:\windows\system32\cmd.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","8",,"False",,"2520","Microsoft.Win32.SafeHandles.SafeProcessHandle","55","1800",".","65664","Administrator: X:\windows\system32\cmd.exe - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","4344","4344","1978368","1978368","27480","27480","3178496","3178496","3301376","3301376","50532352","2203368755200","True","Normal","1978368","1978368","00:00:00.0156250","cmd","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","49483776","2203367706624","False",,,,"3289088","3289088",,
"conhost","1","148","2203438342144","11247616","1835008","10592","X:\windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3204","Microsoft.Win32.SafeHandles.SafeProcessHandle","148","388",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10592","10592","1835008","1835008","168832","168832","1921024","1921024","11276288","11276288","122847232","2203441070080","True","Normal","1835008","1835008","00:00:00.0781250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","120119296","2203438342144","False",,,,"11247616","11247616",,
"conhost","1","151","2203438145536","10027008","1929216","10728","X:\windows\system32\conhost.exe","Microsoft Corporation","0.46875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2616","Microsoft.Win32.SafeHandles.SafeProcessHandle","151","1808",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10728","10728","1929216","1929216","170112","170112","2015232","2015232","13950976","13950976","122847232","2203441070080","True","Normal","1929216","1929216","00:00:00.4531250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.0156250","119922688","2203438145536","False",,,,"10027008","10027008",,
"csrss","0","203","2203406974976","5361664","1642496","11880",,,"0.21875",,,,,"Process","13",,,,,,"203","500",".","0","",,,,,"11880","11880","1642496","1642496","132584","132584","1810432","1810432","5390336","5390336","89407488","2203407630336",,,"1642496","1642496","00:00:00.2187500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","88752128","2203406974976","False",,,,"5361664","5361664",,
"csrss","1","196","2203407826944","5996544","1781760","11936",,,"0.421875",,,,,"Process","13",,,,,,"196","576",".","0","",,,,,"11936","11936","1781760","1781760","122864","122864","1896448","1896448","8056832","8056832","91865088","2203410087936",,,"1781760","1781760","00:00:00.4062500","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0156250","89604096","2203407826944","False",,,,"5996544","5996544",,
"fontdrvhost","1","36","2203392663552","4694016","1384448","6384","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.109375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2556","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","812",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6384","6384","1384448","1384448","48480","48480","1384448","1384448","5775360","5775360","74440704","2203392663552","True","Normal","1384448","1384448","00:00:00.0937500","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","74440704","2203392663552","False",,,,"4694016","4694016",,
"fontdrvhost","0","40","2203388321792","3321856","970752","5840","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2788","Microsoft.Win32.SafeHandles.SafeProcessHandle","40","820",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5840","5840","970752","970752","40000","40000","1032192","1032192","5795840","5795840","72122368","2203390345216","True","Normal","970752","970752","00:00:00.0156250","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","70098944","2203388321792","False",,,,"3321856","3321856",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","8192","8192","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","903","2203405303808","17321984","4550656","21024","X:\windows\system32\lsass.exe","Microsoft Corporation","0.40625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Local Security Authority Process","Microsoft® Windows® Operating System","Process","9",,"False",,"3116","Microsoft.Win32.SafeHandles.SafeProcessHandle","903","708",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21024","21024","4550656","4550656","132792","132792","4554752","4554752","17334272","17334272","87089152","2203405312000","True","Normal","4550656","4550656","00:00:00.3750000","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.0312500","87080960","2203405303808","False",,,,"17321984","17321984",,
"powershell","1","740","2203952340992","94638080","73588736","55296","X:\windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","6.375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows PowerShell","Microsoft® Windows® Operating System","Process","8",,"False",,"3280","Microsoft.Win32.SafeHandles.SafeProcessHandle","740","1856",".","0","","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","55296","55296","73588736","73588736","320168","320168","76587008","76587008","96456704","96456704","645443584","2203963666432","True","Normal","73588736","73588736","00:00:01.7500000","powershell","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.3750000","00:00:04.6250000","634118144","2203952340992","False",,,,"94638080","94638080",,
