#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","55","2203367706624","3289088","1978368","4344","X:\windows\system32\cmd.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","8",,"False",,"2960","Microsoft.Win32.SafeHandles.SafeProcessHandle","55","1800",".","65664","Administrator: X:\windows\system32\cmd.exe - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","4344","4344","1978368","1978368","27480","27480","3178496","3178496","3301376","3301376","50532352","2203368755200","True","Normal","1978368","1978368","00:00:00.0156250","cmd","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","49483776","2203367706624","False",,,,"3289088","3289088",,
"conhost","1","148","2203439390720","11321344","1892352","10864","X:\windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3088","Microsoft.Win32.SafeHandles.SafeProcessHandle","148","388",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10864","10864","1892352","1892352","168832","168832","1921024","1921024","11321344","11321344","122847232","2203441070080","True","Normal","1892352","1892352","00:00:00.0781250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","121167872","2203439390720","False",,,,"11321344","11321344",,
"conhost","1","151","2203438145536","10022912","1929216","10728","X:\windows\system32\conhost.exe","Microsoft Corporation","0.484375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3456","Microsoft.Win32.SafeHandles.SafeProcessHandle","151","1808",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10728","10728","1929216","1929216","170112","170112","2015232","2015232","13950976","13950976","122847232","2203441070080","True","Normal","1929216","1929216","00:00:00.4531250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.0312500","119922688","2203438145536","False",,,,"10022912","10022912",,
"csrss","0","198","2203406909440","5357568","1638400","11744",,,"0.21875",,,,,"Process","13",,,,,,"198","500",".","0","",,,,,"11744","11744","1638400","1638400","131304","131304","1810432","1810432","5390336","5390336","89407488","2203407630336",,,"1638400","1638400","00:00:00.2187500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","88686592","2203406909440","False",,,,"5357568","5357568",,
"csrss","1","192","2203407302656","5967872","1675264","11664",,,"0.421875",,,,,"Process","13",,,,,,"192","576",".","0","",,,,,"11664","11664","1675264","1675264","122800","122800","1896448","1896448","8056832","8056832","91865088","2203410087936",,,"1675264","1675264","00:00:00.4062500","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0156250","89079808","2203407302656","False",,,,"5967872","5967872",,
"fontdrvhost","1","36","2203392663552","4694016","1384448","6384","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.109375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3548","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","812",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6384","6384","1384448","1384448","48480","48480","1384448","1384448","5775360","5775360","74440704","2203392663552","True","Normal","1384448","1384448","00:00:00.0937500","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","74440704","2203392663552","False",,,,"4694016","4694016",,
"fontdrvhost","0","40","2203388321792","3321856","970752","5840","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3568","Microsoft.Win32.SafeHandles.SafeProcessHandle","40","820",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5840","5840","970752","970752","40000","40000","1032192","1032192","5795840","5795840","72122368","2203390345216","True","Normal","970752","970752","00:00:00.0156250","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","70098944","2203388321792","False",,,,"3321856","3321856",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","8192","8192","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","855","2203405303808","17346560","4493312","20256","X:\windows\system32\lsass.exe","Microsoft Corporation","0.65625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Local Security Authority Process","Microsoft® Windows® Operating System","Process","9",,"False",,"3140","Microsoft.Win32.SafeHandles.SafeProcessHandle","855","708",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20256","20256","4493312","4493312","132280","132280","4562944","4562944","17436672","17436672","87089152","2203405312000","True","Normal","4493312","4493312","00:00:00.4375000","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6562500","00:00:00.2187500","87080960","2203405303808","False",,,,"17346560","17346560",,
"powershell","1","837","2203952406528","94715904","73641984","55432","X:\windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","6.5625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows PowerShell","Microsoft® Windows® Operating System","Process","8",,"False",,"3132","Microsoft.Win32.SafeHandles.SafeProcessHandle","837","1856",".","0","","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","55432","55432","73641984","73641984","320168","320168","76587008","76587008","96456704","96456704","645443584","2203963666432","True","Normal","73641984","73641984","00:00:01.8281250","powershell","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.5625000","00:00:04.7343750","634183680","2203952406528","False",,,,"94715904","94715904",,
