#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","55","2203367706624","3289088","1978368","4344","X:\windows\system32\cmd.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft® Windows® Operating System","Process","8",,"False",,"932","Microsoft.Win32.SafeHandles.SafeProcessHandle","55","1800",".","65664","Administrator: X:\windows\system32\cmd.exe - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","4344","4344","1978368","1978368","27480","27480","3178496","3178496","3301376","3301376","50532352","2203368755200","True","Normal","1978368","1978368","00:00:00.0156250","cmd","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","49483776","2203367706624","False",,,,"3289088","3289088",,
"conhost","1","148","2203438342144","11292672","1835008","10592","X:\windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"904","Microsoft.Win32.SafeHandles.SafeProcessHandle","148","388",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10592","10592","1835008","1835008","168832","168832","1921024","1921024","11321344","11321344","122847232","2203441070080","True","Normal","1835008","1835008","00:00:00.0781250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","120119296","2203438342144","False",,,,"11292672","11292672",,
"conhost","1","153","2203438669824","10014720","1957888","10864","X:\windows\system32\conhost.exe","Microsoft Corporation","0.5","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3092","Microsoft.Win32.SafeHandles.SafeProcessHandle","153","1808",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10864","10864","1957888","1957888","171648","171648","2015232","2015232","13950976","13950976","122847232","2203441070080","True","Normal","1957888","1957888","00:00:00.4531250","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.0468750","120446976","2203438669824","False",,,,"10014720","10014720",,
"conhost","1","129","2203435098112","9846784","1695744","9912","X:\windows\system32\conhost.exe","Microsoft Corporation","0.0625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2492","Microsoft.Win32.SafeHandles.SafeProcessHandle","129","2140",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9912","9912","1695744","1695744","162208","162208","1695744","1695744","9846784","9846784","116875264","2203435098112","True","Normal","1695744","1695744","00:00:00.0468750","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 10:47:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","116875264","2203435098112","False",,,,"9846784","9846784",,
"csrss","0","221","2203407826944","5935104","1822720","12424",,,"0.21875",,,,,"Process","13",,,,,,"221","500",".","0","",,,,,"12424","12424","1822720","1822720","137032","137032","1822720","1822720","6090752","6090752","89759744","2203407982592",,,"1822720","1822720","00:00:00.2187500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","89604096","2203407826944","False",,,,"5935104","5935104",,
"csrss","1","212","2203408351232","6008832","1810432","12616",,,"0.5",,,,,"Process","13",,,,,,"212","576",".","0","",,,,,"12616","12616","1810432","1810432","131088","131088","1896448","1896448","8056832","8056832","91865088","2203410087936",,,"1810432","1810432","00:00:00.4531250","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.0468750","90128384","2203408351232","False",,,,"6008832","6008832",,
"fontdrvhost","1","36","2203392663552","4694016","1384448","6384","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.109375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"3300","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","812",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6384","6384","1384448","1384448","48480","48480","1384448","1384448","5775360","5775360","74440704","2203392663552","True","Normal","1384448","1384448","00:00:00.0937500","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","74440704","2203392663552","False",,,,"4694016","4694016",,
"fontdrvhost","0","40","2203388321792","3321856","970752","5840","X:\windows\system32\fontdrvhost.exe","Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Usermode Font Driver Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2892","Microsoft.Win32.SafeHandles.SafeProcessHandle","40","820",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5840","5840","970752","970752","40000","40000","1032192","1032192","5795840","5795840","72122368","2203390345216","True","Normal","970752","970752","00:00:00.0156250","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","70098944","2203388321792","False",,,,"3321856","3321856",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","8192","8192","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","871","2203405303808","17383424","4534272","20256","X:\windows\system32\lsass.exe","Microsoft Corporation","1.328125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Local Security Authority Process","Microsoft® Windows® Operating System","Process","9",,"False",,"3000","Microsoft.Win32.SafeHandles.SafeProcessHandle","871","708",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20256","20256","4534272","4534272","132280","132280","4636672","4636672","17469440","17469440","87089152","2203405312000","True","Normal","4534272","4534272","00:00:00.6093750","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3281250","00:00:00.7187500","87080960","2203405303808","False",,,,"17383424","17383424",,
"powershell","1","821","2203951882240","94732288","73613312","55296","X:\windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","6.8125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows PowerShell","Microsoft® Windows® Operating System","Process","8",,"False",,"3636","Microsoft.Win32.SafeHandles.SafeProcessHandle","821","1856",".","0","","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","55296","55296","73613312","73613312","320168","320168","76587008","76587008","96456704","96456704","645443584","2203963666432","True","Normal","73613312","73613312","00:00:01.9843750","powershell","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.8281250","00:00:04.8437500","633659392","2203951882240","False",,,,"94732288","94732288",,
"Registry","0","0","20701184","19984384","20086784","7072",,,"0.21875",,,,,"Process","8",,,,,,"0","92",".","0","",,,,,"7072","7072","20086784","20086784","44656","44656","20099072","20099072","28123136","28123136","29089792","29089792",,,"20086784","20086784","00:00:00.2187500","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:40:52 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","20701184","20701184","False",,,,"19984384","19984384",,
"services","0","231","2203383799808","7524352","2301952","8720",,,"0.421875",,,,,"Process","9",,,,,,"231","660",".","0","",,,,,"8720","8720","2301952","2301952","72344","72344","3067904","3067904","7983104","7983104","69025792","2203387248640",,,"2301952","2301952","00:00:00.3593750","services",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0625000","65576960","2203383799808","False",,,,"7524352","7524352",,
